FDP Name,Street Name,Section,Latitude,Longitude
NBN_C003_DP0002,NABAWAN-SEPULUT,KEBANGWONG NABAWAN,5.038834742,116.4544091
NBN_C003_DP0003,NABAWAN-SEPULUT,KEBANGWONG NABAWAN,5.036887729,116.4548133
NBN_C003_DP0004,NABAWAN-SEPULUT,KEBANGWONG NABAWAN,5.034782557,116.4555111
NBN_C003_DP0005,NABAWAN-SEPULUT,KEBANGWONG NABAWAN,5.028508929,116.4569104
NBN_C003_DP0006,NABAWAN-SEPULUT,KEBANGWONG NABAWAN,5.017032802,116.4592893
NBN_C003_DP0007,NABAWAN-SEPULUT,KEBANGWONG NABAWAN,5.017383148,116.4598473
NBN_C003_DP0008,NABAWAN-SEPULUT,KEBANGWONG NABAWAN,5.019557515,116.4591535
NBN_C003_DP0009,NABAWAN-SEPULUT,KEBANGWONG NABAWAN,5.016893699,116.4608044
NBN_C003_DP001A,NABAWAN-SEPULUT,KEBANGWONG NABAWAN,5.040789986,116.4529436
NBN_C003_DP002A,NABAWAN-SEPULUT,KEBANGWONG NABAWAN,5.040394997,116.4526374
NBN_C003_DP004A,NABAWAN-SEPULUT,KEBANGWONG NABAWAN,5.03693369,116.4559935
NBN_C003_DP005A,NABAWAN-SEPULUT,KEBANGWONG NABAWAN,5.030944055,116.4564943
NBN_C003_DP008A,NABAWAN-SEPULUT,KEBANGWONG NABAWAN,5.019053763,116.4586783
NBN_C004_DP0001,KAMPUNG MURNI D3,KAMPUNG MURNI D,5.039346953,116.423789
NBN_C004_DP0002,KAMPUNG MURNI D,KAMPUNG MURNI D,5.039696248,116.4245808
NBN_C004_DP0003,4,KAMPUNG MURNI C,5.039699011,116.4254627
NBN_C004_DP0004,MADINAH,NABAWAN,5.040786059,116.4273864
NBN_C004_DP0005,KAMPUNG MURNI A5,KAMPUNG MURNI A5,5.041487088,116.4299107
NBN_C004_DP0006,5,KAMPUNG MURNI C,5.038867588,116.4253481
NBN_C004_DP0007,3,KAMPUNG MURNI C,5.03920183,116.4262023
NBN_C004_DP0008,1,KAMPUNG MURNI C,5.039123638,116.4270764
NBN_C004_DP0009,KAMPUNG MURNI B,KAMPUNG MURNI B,5.039898028,116.4296526
NBN_C004_DP0010,NABAWAN,NABWAN,5.04012496,116.4313146
NBN_C004_DP0011,NABAWAN,NABAWAN,5.041475606,116.432108
NBN_C004_DP0012,NABAWAN,KAMPUNG INDAH,5.044234131,116.4473604
NBN_C004_DP0013,BUNGA ANGERIK,BALAI POLIS NABAWAN,5.045883155,116.4351238
NBN_C004_DP0014,SMK NABAWAN,SEKOLAH MENENGAH KEBANGSAAN NABAWAN,5.038244709,116.4385122
NBN_C004_DP0015,SMK NABAWAN,SEKOLAH MENENGAH KEBANGSAAN NABAWAN,5.037912331,116.4373053
NBN_C004_DP0016,PEKAN NABAWAN,SEDCO NABAWAN,5.043989643,116.4325418
NBN_C004_DP0017,TAWAU-KENINGAU,KAMPUNG MALINGA NABAWAN,5.052499342,116.4515607
NBN_C004_DP0018,TAWAU-KENINGAU,KAMPUNG MALINGA NABAWAN,5.050088899,116.4518247
NBN_C004_DP0019,MASJID,PEJABAT PERTANIAN PELADANG NAWABAN,5.043608983,116.4423895
NBN_C004_DP001A,KAMPUNG MURNI D5,KAMPUNG MURNI D,,
NBN_C004_DP001B,KAMPUNG MURNI D5,KAMPUNG MURNI D,,
NBN_C004_DP001C,KAMPUNG MURNI D3,KAMPUNG MURNI D,,
NBN_C004_DP0020,KAMPUNG MURNI A5,KAMPUNG MURNI A5,5.04241383,116.4292235
NBN_C004_DP0021,NABAWAN SETTLEMENT SCHEME,NABAWAN,5.030748763,116.4161213
NBN_C004_DP0022,NABAWAN SETTLEMENT SCHEME,NABAWAN,5.045460469,116.3969713
NBN_C004_DP0023,HOSPITAL,NABAWAN,5.049980031,116.4426873
NBN_C004_DP0024,HOSPITAL,NABAWAN,5.049538951,116.4428135
NBN_C004_DP0025,HOSPITAL,NABAWAN,5.049334431,116.4435766
NBN_C004_DP0026,NABAWAN,KAMPUNG INDAH,5.042325058,116.4467572
NBN_C004_DP0027,SEDCO,KAMPUNG INDAH,5.043834174,116.4321871
NBN_C004_DP0028,MURNI C,KAMPUNG MURNI C,5.040901338,116.4224223
NBN_C004_DP0029,JALAN NABAWAN TWP,PEKAN NABAWAN,5.043851712,116.4360304
NBN_C004_DP002A,KAMPUNG MURNI D,KAMPUNG MURNI D,,
NBN_C004_DP0030,SK NABAWAN,QUATERS GURU,5.040123406,116.439917
NBN_C004_DP0031,NABAWAN SETTLEMENT,PEKAN NABAWAN,5.035854158,116.4280369
NBN_C004_DP0032,NABAWAN TOWNSHIP,PEKAN NABAWAN,5.044836888,116.4389345
NBN_C004_DP0033,NABAWAN SETTLEMENT,PEKAN NABAWAN,5.04562241,116.4307938
NBN_C004_DP003A,4,KAMPUNG MURNI C,,
NBN_C004_DP004A,2,KAMPUNG MURNI C,,
NBN_C004_DP004B,2,KAMPUNG MURNI C,,
NBN_C004_DP005A,KAMPUNG MURNI C3,KAMPUNG SABINAIT,,
NBN_C004_DP005B,KAMPUNG MURNI C3,KAMPUNG SABINAIT,,
NBN_C004_DP006A,5,KAMPUNG MURNI C,,
NBN_C004_DP006B,KAMPUNG MURNI D2,KAMPUNG MURNI D2,,
NBN_C004_DP007A,3,KAMPUNG MURNI C,,
NBN_C004_DP008A,1,KAMPUNG MURNI C,,
NBN_C004_DP009A,KAMPUNG MURNI B,KAMPUNG MURNI B,,
NBN_C004_DP010A,NABAWAN,KAMPUNG EMPAT A & B,,
NBN_C004_DP010B,NABAWAN,KAMPUNG EMPAT A & B,,
NBN_C004_DP011A,NABAWAN,NABAWAN,,
NBN_C004_DP012A,NABAWAN,KAMPUNG INDAH,5.043646589,116.4477298
NBN_C004_DP012B,NABAWAN,KAMPUNG INDAH,5.043083205,116.4479533
NBN_C004_DP013A,KRAFTANGAN NABAWAN,KILINIK KESIHATAN NABAWAN,,
NBN_C004_DP014A,SMK NABAWAN,RUMAH GURU,,
NBN_C004_DP015A,RUMAH REHAT,PEJABAT PENDIDIKAN DAERAH NABAWAN,,
NBN_C004_DP015B,SMK NABAWAN,SMK NABAWAN,,
NBN_C004_DP016A,NABAWAN,PEKAN NABAWAN,,
NBN_C004_DP016B,NABAWAN,PEKAN NABAWAN,,
NBN_C004_DP018A,TAWAU-KENINGAU,KAMPUNG MALINGA NABAWAN,5.050156425,116.4527236
NBN_C004_DP019A,MASJID,PEJABAT PERTANIAN PELADANG NAWABAN,5.043710468,116.4436152
NBN_C004_DP023A,HOSPITAL,NABAWAN,5.050032439,116.44285
NBN_C004_DP023B,HOSPITAL,NABAWAN,5.050073676,116.4430091
NBN_C004_DP023C,HOSPITAL,NABAWAN,5.050122927,116.4431763
NBN_C004_DP024A,HOSPITAL,NABAWAN,5.049588561,116.4429976
NBN_C004_DP024B,HOSPITAL,NABAWAN,5.04963598,116.4431729
NBN_C004_DP024C,HOSPITAL,NABAWAN,5.049678103,116.4433338
NBN_C004_DP025A,HOSPITAL,NABAWAN,5.049274487,116.4433147
NBN_C004_DP025B,HOSPITAL,NABAWAN,5.04921883,116.4430037
NBN_C004_DP026A,NABAWAN TWP,KAMPUNG INDAH,5.044679,116.447108
NBN_C004_DP032A,NABAWAN TOWNSHIP,PEKAN NABAWAN,5.045029614,116.438763
NBN_C005M_DP0001,KAMPUNG BAHAGIA,KAMPUNG BAHAGIA,5.092202349,116.4411306
NBN_C005M_DP0002,KAMPUNG BAHAGIA,KAMPUNG BAHAGIA,5.093802874,116.4400047
NBN_C005M_DP0003,KAMPUNG BAHAGIA,KAMPUNG BAHAGIA,5.092728581,116.4397174
NBN_C005M_DP0004,KAMPUNG BAHAGIA,KAMPUNG BAHAGIA,5.089947803,116.4405202
NBN_C005M_DP0005,KAMPUNG BAHAGIA,KAMPUNG BAHAGIA,5.089816434,116.4420773
NBN_C005M_DP0006,KAMPUNG BAHAGIA,KAMPUNG BAHAGIA,5.091395649,116.4407493
NBN_C006M_DP0001,KAMPUNG DUA,KAMPUNG ENAM,5.045419868,116.3974968
NBN_C006M_DP0002,KAMPUNG DUA,KAMPUNG ENAM,5.046611989,116.3999701
NBN_C006M_DP0003,KAMPUNG DUA,KAMPUNG ENAM,5.04524105,116.4004825
NBN_C006M_DP0004,KAMPUNG DUA,KAMPUNG ENAM,5.046308992,116.401486
NBN_C006M_DP0005,KAMPUNG DUA,KAMPUNG ENAM,5.041053707,116.4031901
NBN_C006M_DP0006,SOOK NABAWAN,PEKAN NABAWAN,5.046773732,116.4368611
NBN_C006M_DP0007,SOOK NABAWAN,PEKAN NABAWAN,5.045355295,116.4355438
NBN_C006M_DP0008,SOOK NABAWAN,PEKAN NABAWAN,5.044125297,116.4327233
NBN_C006M_DP0009,SOOK NABAWAN,PEKAN NABAWAN,5.041885714,116.4337611
NBN_C006M_DP0010,SOOK NABAWAN,PEKAN NABAWAN,5.043406918,116.4499423
NBN_C006M_DP0011,NABAWAN SETTLEMENT,PEKAN NABAWAN,5.041275473,116.4036665
NBN_C006M_DP0012,NABAWAN SETTLEMENT,PEKAN NABAWAN,5.045903806,116.3972781
NBN_C006M_DP0013,NABAWAN SETTLEMENT,PEKAN NABAWAN,5.046964838,116.4013698
NBN_C006M_DP0014,PERHUTANAN,PEKAN NABAWAN,5.049039486,116.4347873
NBN_C006M_DP001A,NABAWAN TOWNSHIP,PEKAN NABAWAN,,
NBN_C006M_DP005A,NABAWAN TOWNSHIP,PEKAN NABAWAN,,
NBN_C006M_DP006A,PASAR,PEKAN NABAWAN,,
NBN_C006M_DP009A,PASAR,PEKAN NABAWAN,,
NBN_C006M_DP010A,NABAWAN-SOOK,PEKAN SOOK,,
NBN_C007M_DP0001,KAMPUNG ENAM,KAMPUNG DUA,5.07568726,116.4543902
NBN_C007M_DP0002,KAMPUNG ENAM,KAMPUNG DUA,5.075092468,116.4535525
NBN_C007M_DP0003,KAMPUNG ENAM,KAMPUNG DUA,5.07593809,116.4532309
NBN_C007M_DP0004,NABAWAN-SOOK,PEKAN SOOK,5.069437379,116.4534328
NBN_C007M_DP001A,NABAWAN-SOOK,PEKAN SOOK,,
NBN_C008M_DP0001,NIL,KG LOTONG SAPULUT,4.716330935,116.4506103
NBN_C008M_DP0002,NIL,KG LOTONG SAPULUT,4.713964293,116.4510742
NBN_C008M_DP0003,NIL,KG LOTONG SAPULUT,4.714865421,116.449879
NBN_C008M_DP0004,MATIKU-SAPULUT,KG LOTONG SAPULUT,4.710662507,116.4512907
NBN_C008M_DP003A,MATIKU-SAPULUT,NABAWAN,4.714158434,116.4496591
NBN_C888_DP0001,TAWAU - KENINGAU,KAMPUNG DUA RIA,5.063519374,116.4530482
SOO_C001M_DP0001,SOOK,PEKAN SOOK,5.146749777,116.3022932
SOO_C001M_DP0002,SOOK,PEKAN SOOK,5.145464223,116.3050991
SOO_C001M_DP0003,KENINGAU - NABAWAN,PEKAN SOOK,5.145711105,116.3033408
SOO_C001M_DP0004,KENINGAU - NABAWAN,PEKAN SOOK,5.145505281,116.3037341
SOO_C001M_DP0005,SEKRETERIAT SOOK,RUMAH KAKITANGAN JKR SOOK,5.150419262,116.3096837
SOO_C001M_DP0006,SEKRETERIAT SOOK,RUMAH KAKITANGAN JKR SOOK,5.150824068,116.3099048
SOO_C001M_DP0007,SOOK,PEKAN SOOK,5.147740606,116.3087615
SOO_C001M_DP0008,SOOK,PEKAN SOOK,5.143561257,116.2908821
SOO_C001M_DP0009,BANGUNAN URUSETIA,PEKAN SOOK,5.147580696,116.3028475
SOO_C001M_DP0010,KENINGAU-NABAWAN,PEKAN SOOK,5.145778084,116.3045006
SOO_C001M_DP0011,KGU PENSIANGAN,PEKAN SOOK,5.149460444,116.2989195
SOO_C001M_DP002A,KENINGAU-NABAWAN,PEKAN SOOK,,
SOO_C001M_DP005A,SEKRETERIAT SOOK,RUMAH KAKITANGAN JKR SOOK,,
SOO_C001M_DP005B,SEKRETERIAT SOOK,PEKAN SOOK,,
SOO_C001M_DP006A,SEKRETERIAT SOOK,RUMAH KAKITANGAN JKR SOOK,,
SOO_C001M_DP007A,SOOK,PEKAN SOOK,,
SOO_C001M_DP011A,KGU PENSIANGAN,PEKAN SOOK,5.149172435,116.2990563
SOO_C002M_DP0001,KENINGAU SOOK,KAMPUNG SALIR,5.141220381,116.2839042
SOO_C002M_DP0002,KENINGAU SOOK,KAMPUNG SALIR,5.1413348,116.2842989
SOO_C002M_DP0003,KENINGAU SOOK,KAMPUNG SALIR,5.141545419,116.2838626
SOO_C002M_DP0004,KENINGAU SOOK,KAMPUNG SALIR,5.141896396,116.2843166
SOO_C002M_DP0005,KENINGAU SOOK,KAMPUNG SALIR,5.141722472,116.2876905
SOO_C002M_DP0006,KENINGAU SOOK,KAMPUNG SALIR,5.142640272,116.2892772
